Key,id
at the end of the,5g_s1
you know what i mean,5g_s2
to be a part of,5g_s3
but at the same time,5g_s4
the end of the day,5g_s5
i think a lot of,5g_s6
when i was a kid,5g_s7
it was going to be,5g_s8
there was a lot of,5g_s9
you know a lot of,5g_s10
there are a lot of,5g_s11
i have a lot of,5g_s12
a little bit of a,5g_s13
one of the things that,5g_s14
to be able to do,5g_s15
and i was like oh,5g_s16
be a part of it,5g_s17
and all of a sudden,5g_s18
i dont know i mean,5g_s19
in the middle of the,5g_s20
and at the same time,5g_s21
in a lot of ways,5g_s22
for a long time and,5g_s23
you know what im saying,5g_s24
going to be able to,5g_s25
i was going to be,5g_s26
it was a lot of,5g_s27
i dont want to be,5g_s28
at the same time i,5g_s29
i dont know if i,5g_s30
was a lot of fun,5g_s31
that i was going to,5g_s32
you know and i think,5g_s33
do you know what i,5g_s34
and i think thats what,5g_s35
and i was like i,5g_s36
its going to be a,5g_s37
i think one of the,5g_s38
i mean i dont know,5g_s39
it was one of the,5g_s40
i had a lot of,5g_s41
what i wanted to do,5g_s42
i dont know i think,5g_s43
it was the first time,5g_s44
i dont know i dont,5g_s45
you know you have to,5g_s46
you know i dont know,5g_s47
think a lot of people,5g_s48
as a matter of fact,5g_s49
i wanted to be a,5g_s50
and at the end of,5g_s51
spent a lot of time,5g_s52
and theres a lot of,5g_s53
and i think you know,5g_s54
in front of the camera,5g_s55
it was it was a,5g_s56
and i dont want to,5g_s57
when i read the script,5g_s58
you know i think that,5g_s59
every once in a while,5g_s60
a year and a half,5g_s61
a lot of people who,5g_s62
so theres a lot of,5g_s63
we had a lot of,5g_s64
you know it was a,5g_s65
was going to be a,5g_s66
i think that you know,5g_s67
then all of a sudden,5g_s68
there were a lot of,5g_s69
and a lot of people,5g_s70
it was one of those,5g_s71
at the same time and,5g_s72
that was one of the,5g_s73
this is going to be,5g_s74
for the first time and,5g_s75
and to be able to,5g_s76
i dont want to do,5g_s77
i dont know how to,5g_s78
think its going to be,5g_s79
and i didnt want to,5g_s80
i think its going to,5g_s81
a lot of fun and,5g_s82
the rest of my life,5g_s83
at the beginning of the,5g_s84
know whats going to happen,5g_s85
you know i have a,5g_s86
i dont know if its,5g_s87
i think it would be,5g_s88
to do a lot of,5g_s89
was like oh my god,5g_s90
i was like oh my,5g_s91
know what i mean and,5g_s92
know a lot of people,5g_s93
had a lot of fun,5g_s94
at the same time you,5g_s95
i dont know if you,5g_s96
you know i mean i,5g_s97
and you know i think,5g_s98
a lot of the time,5g_s99
what i want to do,5g_s100
and then all of a,5g_s101
to be honest with you,5g_s102
i was like you know,5g_s103
and it was it was,5g_s104
i think you have to,5g_s105
for the rest of my,5g_s106
you know i think its,5g_s107
its one of those things,5g_s108
one of those things where,5g_s109
i think it was a,5g_s110
and i think that thats,5g_s111
dont know i dont know,5g_s112
and its going to be,5g_s113
of the things that i,5g_s114
a lot of people have,5g_s115
you know and it was,5g_s116
an hour and a half,5g_s117
that it was going to,5g_s118
this is the first time,5g_s119
i was a kid i,5g_s120
theres going to be a,5g_s121
was a bit of a,5g_s122
you know when i was,5g_s123
and stuff like that and,5g_s124
and i think that that,5g_s125
and i said you know,5g_s126
and i think it was,5g_s127
by the end of the,5g_s128
it was kind of a,5g_s129
a lot of people are,5g_s130
i want to be a,5g_s131
i was going to do,5g_s132
be a part of the,5g_s133
i did a lot of,5g_s134
you know theres a lot,5g_s135
and i thought it was,5g_s136
i dont want to say,5g_s137
to be able to play,5g_s138
a lot of things that,5g_s139
i was like this is,5g_s140
