Sub3Vox1 ID,VGGFace1 ID,Gender,Nationality,Set
id10001,A.J._Buckley,m,Ireland,eval1
id10002,A.R._Rahman,m,India,eval1
id10003,Aamir_Khan,m,India,eval1
id10004,Aaron_Tveit,m,USA,eval1
id10005,Aaron_Yoo,m,USA,eval1
id10006,Abbie_Cornish,f,Australia,eval1
id10007,Abigail_Breslin,f,USA,eval1
id10008,Abigail_Spencer,f,USA,eval1
id10009,Adam_Beach,m,Canada,eval1
id10010,Adam_Brody,m,USA,eval1
id10011,Adam_Copeland,m,Canada,eval1
id10012,Adam_Driver,m,USA,eval1
id10013,Adrianne_Curry,f,USA,eval1
id10014,Adrianne_Palicki,f,USA,eval1
id10015,Agyness_Deyn,f,UK,eval1
id10016,Aidan_Turner,m,Ireland,eval1
id10017,Ajay_Devgn,m,India,eval1
id10018,Akshay_Kumar,m,India,eval1
id10019,Alain_Delon,m,Norway,eval1
id10020,Alan_Alda,m,USA,eval1
id10021,Alan_Cumming,m,UK,eval1
id10022,Alan_Rickman,m,UK,eval1
id10023,Alan_Tudyk,m,USA,eval1
id10024,Alba_Rohrwacher,f,Italy,eval1
id10025,Aldis_Hodge,m,USA,eval1
id10026,Alex_Borstein,f,USA,eval1
id10027,Alex_Kingston,f,UK,eval1
id10028,Alex_Pettyfer,m,UK,eval1
id10029,Alex_Trebek,m,USA,eval1
id10030,Alexa_Davalos,f,Norway,eval1
id10031,Alexander_Siddig,m,Sudan,eval1
id10032,Alexandra_Daddario,f,USA,eval1
id10033,Alexandra_Roach,f,UK,eval1
id10034,Alexz_Johnson,f,Canada,eval1
id10035,Alfre_Woodard,f,USA,eval1
id10036,Alice_Eve,f,UK,eval1
id10037,Alicja_Bachleda,f,Mexico,eval1
id10038,Alison_Arngrim,f,USA,eval1
id10039,Alison_Pill,f,Canada,eval1
id10040,Allison_Williams,f,USA,eval1
id10041,Amanda_Seyfried,f,USA,eval1
id10042,Amaury_Nolasco,m,USA,eval1
id10043,Amber_Riley,f,USA,eval1
id10044,America_Ferrera,f,USA,eval1
id10045,Amitabh_Bachchan,m,India,eval1
id10046,Amy_Poehler,f,USA,eval1
id10047,Amy_Schumer,f,USA,eval1
id10048,Ana_Gasteyer,f,USA,eval1
id10049,Andre_Braugher,m,USA,eval1
id10050,Andrea_Riseborough,f,UK,eval1
id10051,Andrew_Dice_Clay,m,USA,eval1
id10052,Andrew_Garfield,m,USA,eval1
id10053,Andrew_Lee_Potts,m,UK,eval1
id10054,Andrew_Rannells,m,USA,eval1
id10055,Andrew_Scott,m,Ireland,eval1
id10056,Andy_Richter,m,USA,eval1
id10057,Andy_Samberg,m,USA,eval1
id10058,Aneurin_Barnard,m,UK,eval1
id10059,Ang_Lee,m,USA,eval1
id10060,Angela_Kinsey,f,USA,eval1
id10061,Anne_Hathaway,f,USA,eval1
id10062,Ansel_Elgort,m,USA,eval1
id10063,Anthony_Anderson,m,USA,eval1
id10064,Anthony_Mackie,m,USA,eval1
id10065,Anthony_Rapp,m,USA,eval1
id10066,Anton_Yelchin,m,USA,eval1
id10067,Antonio_Cupo,m,Canada,eval1
id10068,Arden_Cho,f,USA,eval1
id10069,Armand_Assante,m,USA,eval1
id10070,Armie_Hammer,m,USA,eval1
id10071,Asa_Butterfield,m,UK,eval1
id10072,Ashley_Greene,f,USA,eval1
id10073,Ashley_Jensen,f,UK,eval1
id10074,Audra_McDonald,f,USA,eval1
id10075,Audrina_Patridge,f,USA,eval1
id10076,Avan_Jogia,m,Canada,eval1
id10077,B.J._Novak,m,USA,eval1
id10078,Barbara_Eden,f,USA,eval1
id10079,Barbara_Hershey,f,USA,eval1
id10080,Bear_Grylls,m,UK,eval1
id10081,Bellamy_Young,f,USA,eval1
id10082,Ben_Feldman,m,USA,eval1
id10083,Ben_McKenzie,m,USA,eval1
id10084,Ben_Stiller,m,USA,eval1
id10085,Ben_Whishaw,m,UK,eval1
id10086,Beth_Grant,f,USA,eval1
id10087,Bethany_Mota,f,USA,eval1
id10088,Betty_White,f,USA,eval1
id10089,Bill_Nighy,m,UK,eval1
id10090,Bill_Pullman,m,USA,eval1
id10091,Billie_Joe_Armstrong,m,USA,eval1
id10092,Bingbing_Li,f,China,eval1
id10093,Blair_Underwood,m,USA,eval1
id10094,Blake_Michael,m,USA,eval1
id10095,Blake_Shelton,m,USA,eval1
id10096,Bob_Barker,m,USA,eval1
id10097,Bobby_Cannavale,m,USA,eval1
id10098,Bonnie_Wright,f,UK,eval1
id10099,Booboo_Stewart,m,USA,eval1
id10100,Brad_Paisley,m,USA,eval1
id10101,Bradley_Steven_Perry,m,USA,eval1
id10102,Breckin_Meyer,m,USA,eval1
id10103,Brenda_Blethyn,f,UK,eval1
id10104,Brendan_Gleeson,m,Ireland,eval1
id10105,Brett_Davern,m,USA,eval1
id10106,Brian_Blessed,m,UK,eval1
id10107,Brian_Cox,m,UK,eval1
id10108,Brian_Dennehy,m,USA,eval1
id10109,Bridget_Moynahan,f,USA,eval1
id10110,Bridget_Regan,f,USA,eval1
id10111,Brit_Marling,f,USA,eval1
id10112,Brooke_Burke-Charvet,f,USA,eval1
id10113,Bruce_Boxleitner,m,USA,eval1
id10114,Bruno_Ganz,m,Switzerland,eval1
id10115,Bruno_Mars,m,USA,eval1
id10116,Burt_Reynolds,m,USA,eval1
id10117,CCH_Pounder,f,Guyana,eval1
id10118,Caitriona_Balfe,f,Ireland,eval1
id10119,Caity_Lotz,f,USA,eval1
id10120,Callan_McAuliffe,m,Australia,eval1
id10121,Callie_Thorne,f,USA,eval1
id10122,Cameron_Boyce,m,USA,eval1
id10123,Candace_Cameron_Bure,f,USA,eval1
id10124,Candice_Accola,f,USA,eval1
id10125,Candice_Patton,f,USA,eval1
id10126,Caroline_Rhea,f,Canada,eval1
id10127,Carolyn_Hennesy,f,USA,eval1
id10128,Carrie_Ann_Inaba,f,USA,eval1
id10129,Carrie_Fisher,f,USA,eval1
id10130,Carrie_Underwood,f,USA,eval1
id10131,Casey_Affleck,m,USA,eval1
id10132,Casey_Wilson,f,USA,eval1
id10133,Cassandra_Peterson,f,USA,eval1
id10134,Caterina_Murino,f,Italy,eval1
id10135,Caterina_Scorsone,f,Canada,eval1
id10136,Catherine_Hardwicke,f,USA,eval1
id10137,Cedric_the_Entertainer,m,USA,eval1
id10138,Celia_Imrie,f,UK,eval1
id10139,Chace_Crawford,m,USA,eval1
id10140,Chadwick_Boseman,m,USA,eval1
id10141,Charice,f,Philippines,eval1
id10142,Charles_Dance,m,UK,eval1
id10143,Charles_S._Dutton,m,USA,eval1
id10144,Charlie_Day,m,USA,eval1
id10145,Charlotte_Gainsbourg,f,UK,eval1
id10146,Chazz_Palminteri,m,USA,eval1
id10147,Chelsea_Handler,f,USA,eval1
id10148,Cher,f,USA,eval1
id10149,Cheryl_Ladd,f,USA,eval1
id10150,Chi_McBride,m,USA,eval1
id10151,Chiwetel_Ejiofor,m,UK,eval1
id10152,Chloe_Bennet,f,USA,eval1
id10153,Chloe_Dykstra,f,USA,eval1
id10154,Chris_Colfer,m,USA,eval1
id10155,Chris_Hemsworth,m,Australia,eval1
id10156,Chris_Lowell,m,USA,eval1
id10157,Chris_Martin,m,UK,eval1
id10158,Chris_Messina,m,USA,eval1
id10159,Chris_Pine,m,USA,eval1
id10160,Christian_Kane,m,USA,eval1
id10161,Christina_Hendricks,f,USA,eval1
id10162,Christina_Ricci,f,USA,eval1
id10163,Christopher_Mintz-Plasse,m,USA,eval1
id10164,Cierra_Ramirez,f,USA,eval1
id10165,Cilla_Black,f,UK,eval1
id10166,Cillian_Murphy,m,Ireland,eval1
id10167,Cindy_Williams,f,USA,eval1
id10168,Claudia_Black,f,Australia,eval1
id10169,Claudia_Lee,f,USA,eval1
id10170,Cliff_Curtis,m,NewZealand,eval1
id10171,Clive_Owen,m,UK,eval1
id10172,Colin_Donnell,m,USA,eval1
id10173,Constance_Zimmer,f,USA,eval1
id10174,Corbin_Bleu,m,USA,eval1
