Label Directory1 Directory2 Directory3 DirectoryTest SameGramN
IW dev/id10986/Hyck_yynhF4/2g_s1_00005_14380_14880.wav dev/id10986/sOlWHKGy-SY/2g_s1_00087_2600_3440.wav dev/id10986/w7DmOHDIMQ8/2g_s1_00045_1620_2340.wav dev/id11231/izdEvvev7-Q/2g_s240_00003_5480_7000.wav 1_2
TW dev/id10986/lFEBeMFuL_M/2g_s1_00091_2700_3200.wav dev/id10986/lFEBeMFuL_M/2g_s1_00126_3760_4360.wav dev/id10986/w7DmOHDIMQ8/2g_s1_00068_960_1580.wav dev/id10986/w7DmOHDIMQ8/2g_s10_00015_9180_10160.wav 1_2
TC dev/id10535/Pp0iT8SlcDE/2g_s1_00001_3780_4780.wav dev/id10535/Pp0iT8SlcDE/2g_s1_00010_5100_5780.wav dev/id10535/f1f2Nusf3Iw/2g_s1_00001_1300_2240.wav dev/id10535/y63am1ItTro/2g_s1_00003_6460_7220.wav 1_2
TW dev/id10986/GPPBWbOC1FM/2g_s1_00003_1420_2320.wav dev/id10986/Gq881M1WnKM/2g_s1_00009_1780_2500.wav dev/id10986/w7DmOHDIMQ8/2g_s1_00071_1620_2180.wav dev/id10986/KH-yJAsKo1Q/2g_s10_00037_1060_1640.wav 1_2
IC dev/id10243/B2dspvrQ0cU/3g_s33_00003_10300_12500.wav dev/id10243/MkaafbxlTrA/3g_s33_00041_360_1700.wav dev/id10243/QhMFO5HoVhw/3g_s33_00011_10620_11980.wav dev/id10824/ci96hmOV4Os/3g_s33_00003_2340_3380.wav 1_3
IW dev/id10260/7T8jVHliD7o/2g_s1_00003_0_620.wav dev/id10260/DOsLMpphQ_M/2g_s1_00013_24340_25460.wav dev/id10260/DOsLMpphQ_M/2g_s1_00046_6080_6720.wav dev/id10752/B9IfdQpv7NQ/3g_s230_00020_0_820.wav 0_2_3
TW dev/id10986/Hyck_yynhF4/2g_s1_00053_3580_4280.wav dev/id10986/sOlWHKGy-SY/2g_s1_00106_8540_9220.wav dev/id10986/xFTIClN5z70/2g_s1_00053_5660_6600.wav dev/id10986/Vzqmi3MAixQ/2g_s107_00012_13760_14480.wav 1_2
TC dev/id10677/9mw0tq3NGGU/2g_s1_00013_11700_12380.wav dev/id10677/9mw0tq3NGGU/2g_s1_00018_0_840.wav dev/id10677/RLpGQEG12ak/2g_s1_00021_7000_7920.wav dev/id10677/s1sqH8pCwas/2g_s1_00003_3620_4680.wav 1_2
TW dev/id10986/GPPBWbOC1FM/2g_s1_00017_4620_5420.wav dev/id10986/Gq881M1WnKM/2g_s1_00012_6760_7560.wav dev/id10986/w7DmOHDIMQ8/2g_s1_00071_1620_2180.wav dev/id10986/KH-yJAsKo1Q/2g_s10_00037_1060_1640.wav 1_2
IW dev/id10986/Vzqmi3MAixQ/2g_s1_00012_19640_20280.wav dev/id10986/eWvntayRfe8/2g_s1_00021_6060_6820.wav dev/id10986/xFTIClN5z70/2g_s1_00063_0_680.wav dev/id10560/TI_gXkvlLGo/4g_s201_00009_6000_6760.wav 0_2_4
IW dev/id11165/Ad81el_bmPs/2g_s1_00016_8480_9220.wav dev/id11165/GaKIJFIHef0/2g_s1_00009_14380_15060.wav dev/id11165/Lo85M34sDQM/2g_s1_00003_3360_4080.wav dev/id10029/mjuQ_AKDKn0/4g_s451_00003_8960_10580.wav 0_2_4
IW dev/id10492/dP82yj93J1I/2g_s1_00003_0_760.wav dev/id10492/gbLnK_0oVAE/2g_s1_00001_10300_11140.wav dev/id10492/v3BTWaxPaC8/2g_s1_00004_3320_4140.wav dev/id10082/bn1uQFwzZxU/4g_s408_00006_11580_13040.wav 0_2_4
IC dev/id10096/F8tju2wuDEs/3g_s126_00050_3880_5100.wav dev/id10096/cII4Z0sCl9Y/3g_s126_00063_9420_10560.wav dev/id10096/cII4Z0sCl9Y/3g_s126_00073_12500_13100.wav dev/id10242/b71ZOTdLKUI/3g_s126_00001_3600_4380.wav 1_3
TC dev/id10986/GPPBWbOC1FM/2g_s1_00017_4620_5420.wav dev/id10986/Hyck_yynhF4/2g_s1_00041_1780_2440.wav dev/id10986/w7DmOHDIMQ8/2g_s1_00045_1620_2340.wav dev/id10986/xmf3xBGKSoA/2g_s1_00001_0_600.wav 1_2
TW dev/id10986/Hyck_yynhF4/2g_s1_00002_17080_17900.wav dev/id10986/Vzqmi3MAixQ/2g_s1_00012_19640_20280.wav dev/id10986/w7DmOHDIMQ8/2g_s1_00045_1620_2340.wav dev/id10986/w7DmOHDIMQ8/3g_s326_00062_1620_2660.wav 0_2_3
IC dev/id10986/Hyck_yynhF4/3g_s32_00061_12040_12880.wav dev/id10986/lFEBeMFuL_M/3g_s32_00131_840_1740.wav dev/id10986/xFTIClN5z70/3g_s32_00063_5980_6920.wav dev/id10929/kTunl_eN9qA/3g_s32_00001_0_1020.wav 1_3
IW dev/id10885/4eMRFLBp58c/2g_s1_00002_1400_2140.wav dev/id10885/656OEfLzOGs/2g_s1_00027_0_760.wav dev/id10885/vGgLTAf1VtY/2g_s1_00009_9160_10060.wav dev/id10465/Y0UCEBCUuMY/2g_s5_00001_1260_2060.wav 1_2
TC dev/id10096/F8tju2wuDEs/2g_s2_00034_13120_13940.wav dev/id10096/F8tju2wuDEs/2g_s2_00038_9020_10240.wav dev/id10096/cII4Z0sCl9Y/2g_s2_00031_9540_10280.wav dev/id10096/qMU3f7XiSlE/2g_s2_00060_3920_4600.wav 1_2
TW dev/id10986/KH-yJAsKo1Q/2g_s1_00025_4400_5240.wav dev/id10986/eWvntayRfe8/2g_s1_00021_6060_6820.wav dev/id10986/sOlWHKGy-SY/2g_s1_00065_8820_9800.wav dev/id10986/Hyck_yynhF4/2g_s53_00039_1260_2500.wav 1_2
IC dev/id10268/FGwsY_XS2QM/5g_s2_00004_2740_3400.wav dev/id10268/JkfveeYh1-8/5g_s2_00001_0_780.wav dev/id10268/rAHdNd6rQ0I/5g_s2_00009_8900_9660.wav dev/id11104/4eStFmZMSkg/5g_s2_00013_10320_11080.wav 1_5
IC dev/id11130/EU13lStSa-k/3g_s5_00003_15900_16700.wav dev/id11130/HJnzTUM9G8E/3g_s5_00004_1540_3540.wav dev/id11130/tXutBWbk5Mw/3g_s5_00006_220_1080.wav dev/id10322/cDvYOlfbI7Q/3g_s5_00001_4220_5180.wav 1_3
